catalog Position,Title,author,Year Published,genre,Section,Total-copies,Times borrowed,Last borrowed_date,Rating,Ratings count,Price,Language,Page count,ISBN,subjects,Dimensions,Thumbnail
A2-B4-0024,Kleine Katechismus,Martin Luther,1567,Religion,Humanities,5,3,1_Jun_24,4.66 out of 5 stars,2 ratings,Price not available,de,1176,,"Lutheran Church, Catechisms, German, Catechisms and creeds, Delaware language, English, Prayers, Hymns, Glossaries, vocabularies, Texts, Early works to 1800, Tigrinya, Swedish, Finnish, Delaware, Fathers of the church, Lithuanian, Doctrinal Theology, Mohawk language, Indian linguistics, Lutheran church, catechisms and creeds, Lithuanian language",6.04 x 3.72 x 7.86 inches,
A2-B4-0025,Canti,Giacomo Leopardi,1900,Poetry,Humanities,4,7,30_Nov_24,4.76 out of 5 stars,4 ratings,$18.87 ,en,194,,"Translations into English, Poetry (poetic works by one author), Collected works (single author, multi-form), Translations, Italian poetry, Poetic works",6.21 x 1.06 x 9.06 inches,
A2-B4-0026,The Waves,Virginia Woolf,1931,Drama,Fiction,6,1,1_Nov_24,,No reviews,$10.99 ,eng,232,978-0-413-1726-8,"British and irish fiction (fictional works by one author), Fiction, psychological, Friendship, fiction, Identity (Psychology), Friendship, Fiction, Friendship in fiction, Facsimiles, Manuscripts, Translations, English Manuscripts, Literature, Identity (Philosophical concept) in literature, Human beings in literature, Emotional maturity, Self-actualization (Psychology), English fiction, English literature, Identity (psychology)--fiction, Friendship--fiction, Pr6045.o72 w3 2006, 823/.912",7.98 x 0.71 x 5.34 inches,http://books.google.com/books/content?id=oMRz0Dc4UC8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0027,The Subtle Art of Not Giving a F*ck,Mark Manson,2016,Self-Help,Non-Fiction,6,1844,4_Sep_24,4.56 out of 5 stars,"1,497 ratings",$0.99 ,en,224,,"Self-realization, Conduct of life, Conducta de vida, nyt:advice-how-to-and-miscellaneous=2016-10-02, New York Times bestseller",5.99 x 0.40 x 8.95 inches,
A2-B4-0028,Les Misérables,Victor Hugo,1862,Drama,Fiction,7,5,26_Mar_24,4.77 out of 5 stars,3 ratings,$6.89 ,en,230,,"Poor, Fiction, Readers, Fiction, historical, France, fiction, Ex-convicts, History, Historical fiction, Manners and customs in fiction, French fiction, Continental european fiction (fictional works by one author), Ex-convicts in fiction, Orphans in fiction, Orphans, Literature and fiction (general), Javert, inspector (fictitious character), fiction, Classic Literature, Fiction, political, Social conditions, Social life and customs, Juvenile fiction, Franse fiksie, Leesboeke, Franse taal, French language, Fiction, historical, general, France in fiction, Open Library Staff Picks, Stuttering, freedom, redemption, prison, bread, barricade, Los, Miserables, Francia, Accessible book, Protected DAISY, Paris (france), fiction, Politics and government, Graphic novels, Comic books, strips, Cartoons and comics, MisÃƒÂ©rables (Hugo, Victor), Fiction, general, Valjean, jean (fictitious character), fiction, Police, Vida social y costumbres, Presos, PolicÃƒÂ­a, FicciÃƒÂ³n, HuÃƒÂ©rfanos, July Revolution (France : 1830) fast (OCoLC)fst01353472, Literature, FICTION / Classics, FICTION / Historical, Epic fiction, Manners and customs, Unterschicht, French language materials, French literature, Electronic books, Music, instruction and study, Javert (Fictitious character), Fiction, fantasy, epic, Suo xie, Chang pian xiao shuo, Children's fiction, Adventure and adventurers, fiction, Rescue work, fiction, Police, fiction, Romance literature, Ex-dÃƒÂ©tenus, Romans, nouvelles, MÃ…â€œurs et coutumes, Criminals, Translations into English, Prisoners",4.13 x 2 x 6.88 inches,
A2-B4-0029,A history of the English-speaking peoples,Winston S. Churchill,1956,History,Non-Fiction,4,4,20_Nov_24,4.57 out of 5 stars,3 ratings,$17.76 ,en,428,,"History, Juvenile literature, Heroes, English-speaking countries, Biography, Commonwealth of Nations, Histoire, English-speaking countries -- History, Great Britain -- History, Historia, Great Britain, Great britain, history",6.32 x 3.89 x 9.28 inches,
A2-B4-0030,The Big Sleep,Raymond Chandler,1939,Crime/Thriller,Fiction,5,69,8_Jan_25,4.37 out of 5 stars,48 ratings,$0.99 ,en,242,,"Fiction, Philip Marlowe (Fictitious character), Private investigators, Detective and mystery stories, Women, General, Fiction, mystery & detective, hard-boiled, Marlowe, philip (fictitious character), fiction, California, fiction, Los angeles (calif.), fiction, Private investigators, fiction, Fiction, mystery & detective, general, Children's fiction, Mystery and detective stories, English language, textbooks for foreign speakers, Mystery & detective",6.26 x 0.83 x 6.72 inches,
A2-B4-0031,"Collection intégrale et universelle des orateurs sacrés du premier et du second ordre et collection intégrale, ou choisie, de la plupart des orateurs du troisième ordre",J.-P Migne,1844,Religion,Humanities,5,1,11_Sep_24,No rating available,No reviews,Price not available,fr,700,,"Sermons franÃƒÂ§ais, Sermons, Sermons pour l'annÃƒÂ©e liturgique, Ãƒâ€°glise catholique",6.26 x 2.28 x 8.43 inches,http://books.google.com/books/content?id=ZNgsAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0032,Helen of Troy: Her Life and Translation Done Into Rhyme from the Greek Books,Andrew Lang,1882,Poetry,Fiction,5,1,3_Oct_24,No rating available,No reviews,$7.38 ,en,220,,"Helen of Troy (Greek mythology), Poetry, Fiction, Historical Fiction, Helen of Troy (Greek mythology) in literature, Greek Mythology, Fiction, historical, general, Poetry (poetic works by one author), In literature",6.14 x 0.44 x 9.21 inches,
A2-B4-0033,The Red Badge of Courage,Stephen Crane,1871,Historical Fiction,Fiction,7,5,5_Jun_24,4.41 out of 5 stars,5 ratings,$7.99 ,en,202,,"American fiction (fictional works by one author), Fiction, historical, general, Fiction, war & military, United states, history, civil war, 1861-1865, fiction, Virginia, fiction, Historical fiction, War stories, United States -- History -- Civil War, 1861-1865 -- Fiction, Virginia -- History -- Civil War, 1861-1865 -- Fiction, Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction",5.25 x 0.33 x 8 inches,
A2-B4-0034,Androcles and the lion,George Bernard Shaw,1913,Drama,Fiction,5,5,19_Jun_24,4.21 out of 5 stars,5 ratings,$0.99 ,en,55,,"Spelling reform, Shaw alphabet, British and irish drama (dramatic works by one author), Christianity, Protected DAISY, In library, Drama, Fables, Fairy tales, adaptations, Controversial literature",5.22 x 0.38 x 9.03 inches,
A2-B4-0035,Hamlet,William Shakespeare,1603,Drama,Fiction,9,90,11_Jan_25,4.53 out of 5 stars,65 ratings,$8.19 ,en,324,,"performing arts, nonfiction classics, Shakespeare plays, texts, Teatro, Muerte, Tragedias, PrÃƒÂ­ncipes, Padres, Familia, SucesiÃƒÂ³n, VÃƒÂ­ctimas de asesinato, Stage history, Reyes, reinas, soberanos, Venganza, History and criticism, Criticism and interpretation, LITERARY CRITICISM, Succession, Fathers, Regicide, Tragedy, classic literature, fathers succession, quartos, regicides, English literature, juvenile literature, production and direction, inheritance and succession, Britons, English plays, ageing parents, scripts, English young adult drama, fathers and daughters, English language, open_syllabus_project, Drama, Princes, English drama (Tragedy), English drama, Texts, Kings and rulers, Murder victims' families, Revenge, Plays, Death, Homicide, Juvenile drama, Children's plays, English, Drama texts, plays, Drama texts: from c 1900 -, Fiction, juvenile   literature, Murder victims'   families, Shakespeare, Children's plays, Drama texts, Shakespeare plays, Book Notes, STUDY AIDS, Tragedies, Hamlet (Legendary character), Victims of crimes, Readers, Adaptations, Hamlet (Shakespeare, William), Quelle, Edition, Textual Criticism, Critique textuelle, Polonius (Fictitious character : Shakespeare), Queen of Denmark Gertrude (Fictitious character), King of Denmark Claudius (Fictitious character), Laertes (Fictitious character : Shakespeare), Horatio (Fictitious character : Shakespeare), Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Translating into Russian, Translations into Russian, Cartoons and comics, Comic books, strips, British and irish drama (dramatic works by one author), Shakespeare, william, 1564-1616, hamlet, English literature, history and criticism, Shakespeare, william, 1564-1616, English literature, outlines, syllabi, etc., Shakespeare, william, 1564-1616, outlines, syllabi, etc., English literature, study and teaching, Theatre, Literature, Shakespeare, william, 1564-1616, adaptations, Shakespeare, william, 1564-1616, juvenile literature, Large type books, Drama, british and irish, Miscellanea, Star Trek television programs, Star Trek films, Klingon (Artificial language), Bibliography, Motion pictures, Hamlet (Motion picture : 1948), Sources, Miniature books, Specimens, Outlines, syllabi, Study and teaching, Problems, exercises, Hamlet (Motion picture : 1996), Translations into Icelandic, Kommentar, English drama, history and criticism, 17th century, Readers for new literates, Ju ben, Bei ju, Study guides, Children's literature, DRAMAS INGLESES, Dramatic production, Theater, Shakespeare, william, 1564-1616, criticism and interpretation, Children's fiction, Denmark, fiction, Fiction, historical, general, Comic books, strips, etc., Drama (dramatic works by one author), ThÃƒÂ©ÃƒÂ¢tre anglais, Early modern and Elizabethan, Juvenile fiction, Vengeance, Bandes dessinÃƒÂ©es, Romans, nouvelles, etc. pour la jeunesse, Blacks, In literature, Hamlet, Hamlet (legendary character)--drama, Princes--denmark--drama, Pr2807.a2 b73 2001, 822.3/3, Comics & graphic novels, manga, general, Shakespeare, william , 1564-1616, Ophelia, Pr2807.a2 b46 1988, General, Mathematics, study and teaching, Outlines, syllabi, etc, Hamlet (Legendary character) -- Drama, Kings and rulers -- Succession -- Drama, Murder victims' families -- Drama, Fathers -- Death -- Drama, Revenge -- Drama, Princes -- Drama, Denmark -- Drama, Princes in literature",5.5 x 1 x 8.38 inches,
A2-B4-0037,Riceyman Steps,Arnold Bennett,1923,Drama,Fiction,4,10,30_May_24,4.04 out of 5 stars,10 ratings,$9.99 ,en,244,,"Small town life, Fiction, family life, general, London (england), fiction, Fiction, psychological, Widows, fiction, Booksellers and bookselling, fiction, English literature, Fiction, family life, Booksellers and bookselling, Fiction",5.91 x 1.11 x 7.49 inches,
A2-B4-0038,Al-Rawd Al-Atir Fi Nuzhat Al-Hatir,Umar ibn Muḥammad al-Nafzāwī,1886,Erotica,Fiction,6,2,10_May_24,,,$14.99 ,ar,134,,"Early works to 1800, Erotic literature, Sex instruction, Sex education, Sex, Sex (Psychology), Love, Fiction, erotica, Directories, Fiction, LittÃƒÂ©rature ÃƒÂ©rotique, Ouvrages avant 1800, Sex in literature, Sex customs, Sexual intercourse, Gardens, Fiction, general, Classic Literature, Fiction, erotica, general, Poetry (poetic works by one author), Non-Classifiable, Novelty",5.98 x 0.14 x 9.02 inches,
A2-B4-0039,Sir Quixote of the Moors,John Buchan,1895,Historical,Fiction,5,5,25_Jun_24,3.58 out of 5 stars,3 ratings,Price not available,en,62,,"Fiction, French, Covenanters, Fiction, historical, general, Scotland, fiction, French fiction",6.84 x 0.32 x 8.29 inches,
A2-B4-0040,The Bat,Mary Roberts Rinehart,1926,Crime/Thriller,Fiction,6,1,24_Nov_24,4.15 out of 5 stars,1 rating,"$1,276 ",en,280,,"Classic Literature, American Detective and mystery stories, Fiction, Large type books, Detective and mystery stories, Fiction, mystery & detective, general, Fiction, general",5.97 x 0.94 x 9.56 inches,http://books.google.com/books/content?id=R7HyZEOZk50C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0041,Anábasis,Xenophon,1623,History,Non-Fiction,6,1,4_Jul_24,,No reviews,$1.99 ,el,298,,"History, Cyrus, the younger, approximately 423 b.c.-approximately 401 b.c., Iran, history, to 640, Greece, history, to 146 b.c., Historical geography, Early works to 1800, Trials, litigation, Readers, Iran, Greek language, Cyrus the Younger, d. 401 B. C., Polish literature, Translations from Greek, Greek literature, Greek prose literature, Princes, Translations into Polish, Criticism and interpretation, Ancient History, Biography, GrÃƒÂ¨ce, Histoire ancienne, Historia, Accessible book, Protected DAISY, Princes and princesses, Expedition of Cyrus,, Greece, Greece Peloponnesian War, 431-404 B.C., Trials, litigations, Fiction, Ancient Philosophy, Iran, history, Cavalry, Greece, history, military, Xenophon, Histoire, Persian wars, B.C. 500-449, Military art and science, Expedition of Cyrus (Greece : 401 B.C.) fast (OCoLC)fst01353071",4.25 x 1.3 x 6.37 inches,
A2-B4-0042,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,2014,Economics & Business,Non-Fiction,unknown,218,9_May_24,4.66 out of 5 stars,146 ratings,$17.89 ,en,232,,"Entrepreneurship, Management, New business enterprises, Success in business, nyt:business-books=2014-04-13, New York Times bestseller, SelbststaÃŒË†ndiger, UnternehmensgruÃŒË†ndung, Klein- und mittelbetrieb, FramgaÃŒÅ ngsrikt foÃŒË†retagande, EntreprenoÃŒË†rskap",6.56 x 0.86 x 9.81 inches,
A2-B4-0043,At the Back of the North Wind,George MacDonald,1882,Fantasy,Children,7,3,25_Oct_24,4.35 out of 5 stars,2 ratings,$12.99 ,en,391,,"Accessible book, Fairy tales, Children's fiction, Fiction, mystery & detective, general, Death, fiction, Love, fiction, Magic, fiction, London (england), fiction, Great britain, history, 19th century, fiction, Social problems, fiction, Fiction, general, Stories, Boys, fiction, Fantasy fiction, Christian life, fiction, Adventure and adventurers, fiction, Friendship, fiction",6.07 x 1.32 x 9.53 inches,
A2-B4-0044,The Death of Ivan Ilyich,Leo Tolstoy,1887,Drama,Fiction,5,15,17_Feb_25,4.49 out of 5 stars,9 ratings,$6.46 ,ru,85,,"Literature, Manners and customs in fiction, Novellas, Fiction, Death in fiction, Russian, Russian fiction, Continental european fiction (fictional works by one author), Russian language, Readers, Death, Sick, Russian Short stories, open_syllabus_project, Diseases, Judges, Slavic philology, Tolstoy, leo, graf, 1828-1910, Russian literature, history and criticism, Fiction, general, Ingles (lingua), Romance ingles, Literatura inglesa, Children's fiction, Death, fiction, Literature and fiction (general), Literature and fiction, short stories and essays, Russian literature, SmertÃŠÂ¹ Ivana IlÃŠÂ¹icha (Tolstoy, Leo, graf), Literature--russian, Fiction in russian, 1800-1917 - english texts, Pg3366.s6 s6 1981, Pg 3366.s6 t654d 1981, 891.73/3, Fictional Works, Sick--fiction, Death--fiction, Pg3366.s6 d74 2008, Classic Literature, Drama, Historical Fiction, Fiction, historical, general, Fiction, psychological, Fiction, classics, Modern Literature, Attitude to Death, Popular Works, Terminally Ill",4.27 x 0.16 x 6 inches,
A2-B4-0045,The Canterville ghost,Oscar Wilde,1887,Fantasy,Children,6,3,11_Dec_24,4.54 out of 5 stars,2 ratings,$0.39 ,en,62,,"Fiction, Ghosts, Fairy tales, Readers, German language, British and irish fiction (fictional works by one author), Children's fiction, Ghosts, fiction, England, fiction",5 x 0.45 x 7.7 inches,
A2-B4-0046,The lady of the lake,Sir Walter Scott,1800,Poetry,Humanities,6,1,17_Feb_25,3.94 out of 5 stars,1 rating,$6.09 ,en,364,,"Sir Walter Scott, Poem, Writing, Publisher, American, H. M. Caldwell Co., Book Cover, Victorian, History, Lady of the Lake (Legendary character), Poetry, Shorthand, Graham, Texts, Marston Moor, Battle of, England, 1644, Songs and music, Harmonic analysis, English poetry, PoÃƒÂ©sie anglaise",5.77 x 1.27 x 7.28 inches,
A2-B4-0047,Nightmare Abbey,Thomas Love Peacock,1818,Satire,Fiction,5,1,15_Jun_24,4.33 out of 5 stars,1 rating,$17 ,en,248,,"Adaptations, Arthurian romances, Classic Literature, Fiction, Kings and rulers, Thriller, Fiction, humorous, general, Fiction, religious, Fiction, horror, Fiction, historical, general, Gothic novel, Englisch, Authors, fiction, English poetry, Fiction, gothic, Fiction, humorous, Peacock, thomas love, 1785-1866",5.08 x 0.61 x 7.76 inches,
A2-B4-0048,The Red Rover: A Tale,James Fenimore Cooper,1827,Adventure,Fiction,4,9,19_Jul_24,4.07 out of 5 stars,9 ratings,$14.99 ,en,304,,"Fiction, American Sea stories, Open Library Staff Picks, Historical fiction, American fiction (fictional works by one author), Rhode island, fiction, Fiction, sea stories, Fiction, historical, general, Sea stories",5.54 x 1.18 x 8.46 inches,
A2-B4-0049,A Knight of the Nineteenth Century,Edward Payson Roe,1877,Novels,Fiction,5,7,7_Dec_24,4.85 out of 5 stars,5 ratings,$0.99 ,en,462,,"Fiction, historical, general, Classic Literature, Fiction",6.31 x 1.49 x 7.68 inches,
A2-B4-0050,The Romance of Lust,"""Charlie Roberts""",1968,Romance,Fiction,5,1,12_Jun_24,3.55 out of 5 stars,1 rating,$1.99 ,en,220,,"Fiction, romance, erotic",6 x 0.88 x 9 inches,
A2-B4-0051,"A System of Logic, Ratiocinative and Inductive",John Stuart Mill,1843,Science,Science,5,3,25_Jun_24,4.03 out of 5 stars,2 ratings,$6.99 ,en,616,,"Science, Methodology, Logic, Theory of Knowledge, Knowledge, Theory of, Science, methodology, Sciences, ThÃƒÂ©orie de la connaissance, Logique, MÃƒÂ©thodologie",5.5 x 1.51 x 8.5 inches,
A2-B4-0052,The Pied Piper of Hamelin,Robert Browning,1888,Poetry,Children,5,3,10_Jan_25,4.41 out of 5 stars,3 ratings,$5.99 ,en,56,,"Legends, Folklore, Pied Piper of Hamelin (Legendary character), Fairy tales, Children's fiction, Children's poetry, English, Juvenile poetry, Children's poetry, English poetry, Poetry, History, Pied Piper (Legendary character), Jackdaw, Sharing, fiction, Rattenfanger von Hameln, Children, fiction",6 x 0.11 x 9 inches,
A2-B4-0053,The complete works of Robert Browning Volume XVI,Robert Browning,1800,Poetry,Humanities,5,2,15_Oct_24,No rating available,No reviews,$85 ,en,448,979-7-415-3209-4,"Criticism and interpretation, Humanism, Children's poetry, English, Poetry, English poetry, English Poets, Critique et interprÃƒÂ©tation, Lyrik, Aufsatzsammlung, Correspondence, Works by individual poets: 19th century, 19th Century English Poetry, English, English, Irish, Scottish, Welsh, Poetry (poetic works by one author), Collected works (single author, multi-form), English poetry, history and criticism, 19th century, Browning, robert, 1812-1889, Browning, robert, 1812-1889, criticism and interpretation, 18.05 English literature, British and irish fiction (fictional works by one author), PoÃƒÂ©sie anglaise, POETRY, English Love poetry",6.5 x 1 x 9.5 inches,
A2-B4-0054,Cards on the Table,Agatha Christie,1936,Crime/Thriller,Fiction,5,38,5_Nov_24,4.58 out of 5 stars,30 ratings,$14.99 ,en,244,,"Fiction, Hercule Poirot (Fictitious character), Private investigators, Private investigators in fiction, Detective and mystery stories, Mystery, Poirot, Hercule (Fictitious character) Fiction, Zhen tan xiao shuo, Chang pian xiao shuo, Fiction, mystery & detective, general, Private investigators, fiction, Large type books, English literature, Fiction, mystery & detective, traditional, England, fiction, Poirot, hercule (fictitious character), fiction, Battle, superintendent (fictitious character), fiction, Oliver, ariadne (fictitious character), fiction, Race, colonel johnny (fictitious character), fiction, Marple, jane (fictitious character), fiction, Foreign relations",7.00 x 1.13 x 8.96 inches,
A2-B4-0055,Beggar's opera,John Gay,1728,Drama,Humanities,5,1,31_Mar_24,4.45 out of 5 stars,1 rating,$11.95 ,en,20,,"Ballad operas, Brigands and robbers, Drama, Facsimiles, Librettos, Music - Manuscripts, Operas, Scores, Vocal scores with piano, British and irish drama (dramatic works by one author), Early works to 1800",7.6 x 0.6 x 5 inches,
A2-B4-0056,The House of Arden,Edith Nesbit,1900,Fantasy,Children,5,4,30_Jan_25,4.69 out of 5 stars,3 ratings,$9.95 ,en,262,,"Buried  treasure, Magic, Brothers and sisters, Buried treasure, Juvenile fiction, Fiction, Treasure troves, Time travel, History, Children's fiction, Magic, fiction, Brothers and sisters, fiction, Time travel, fiction, Buried treasure, fiction, Great britain, history, fiction, Brothers and sisters -- Juvenile fiction, Treasure troves -- Juvenile fiction, Magic -- Juvenile fiction, Time travel -- Juvenile fiction, Great Britain -- History -- Edward VII, 1901-1910 -- Juvenile fiction, Fairy tales, Great britain, fiction, Siblings, fiction",6.25 x 0.93 x 8.31 inches,
A2-B4-0058,Ethica,Baruch Spinoza,1883,Philosophy,Humanities,4,2,25_Jun_24,4.32 out of 5 stars,1 rating,$14.99 ,en,422,978-7-296-6533-7,"Correspondence, Philosophers, God, Prejudices, Morale, Early works to 1800, Ethics, Modern Ethics, Spinoza, benedictus de, 1632-1677, Ethics, modern, Knowledge, theory of, Ouvrages avant 1800, Passions (philosophie), Ãƒâ€°motions (philosophie), Ethics--early works to 1800, B3973.e5 p37 2000, 170",5.18 x 1.51 x 7.94 inches,http://books.google.com/books/content?id=UCF-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0059,Endless Night,Agatha Christie,1967,Crime/Thriller,Fiction,5,27,10_Nov_24,4.26 out of 5 stars,19 ratings,$11.39 ,en,406,,"Fiction, Mystery, Detective and mystery stories, Heiresses, Newlyweds, Blessing and cursing, Private investigators, Murder, Translations into Russian, English Short stories, English Detective and mystery stories, Married people, Country homes, Mystery & Detective, Traditional, Historical, Crime, House construction, Gypsies, Large type books, English literature, Fiction, mystery & detective, general, Crime, fiction, Fiction, mystery & detective, traditional, England, fiction, Meurtre, Romans, nouvelles, Mystery and detective stories, Fiction, crime, Fiction, general",5.27 x 1.32 x 7.03 inches,http://books.google.com/books/content?id=29-aDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0061,Jane's Fighting Ships,Fred T. Jane,1898,History,Reference,6,1,22_Jul_24,5.0 out of 5 stars,1 rating,Price not available,en,864,,"navies, ships, shipbuilding, naval history, Warships",5.87 x 2.77 x 7.96 inches,http://books.google.com/books/content?id=fmYjAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A2-B4-0062,A Room with a View,Edward Morgan Forster,1908,Romance,Fiction,5,2,25_Jul_24,No rating available,No reviews,$5.49 ,en,328,979-8-894-2813-3,"British, Fiction, Young women, British in fiction, England in fiction, Travel, Young women in fiction, love, romance, Movie novels, Historical fiction, British and irish fiction (fictional works by one author), Large type books, Young women, fiction, Fiction, humorous, general, Italy, fiction, Great britain, fiction, Fiction, romance, general, British Travel Association, England, fiction, Classic Literature, Fiction, humorous, Forster, e. m. (edward morgan), 1879-1970, Korean, Dictionaries, English language, Spanish, Chinese, Social life and customs, English Love stories, Classics, Britanniques, Romans, nouvelles, Voyages, Jeunes femmes, Fiction, psychological, Fiction, general",6 x 0.65 x 9 inches,
A2-B4-0063,Heretics,Gilbert Keith Chesterton,1905,Religion,Non-Fiction,7,4,27_Oct_24,5.0 out of 5 stars,3 ratings,Price not available,en,179,,"Criticism, English Authors, English essays, Essays, Literature, Nonfiction, Apologetics, Chesterton, g. k. (gilbert keith), 1874-1936, Literature, history and criticism, English literature, Fiction, historical, general, Religion, Authors, biography, Authors, english, Heresies and heretics, Secularism",6.72 x 0.94 x 8.23 inches,http://books.google.com/books/content?id=dulMDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0064,,,1713,Philosophy,Humanities,6,1,31_Jan_25,No rating available,No reviews,Price not available,un,54,,"Immortality, Immortality (Philosophy), Early works to 1800, Biblioteca Nacional (Spain), Ouvrages avant 1800, ImmortalitÃƒÂ© (Philosophie), Phaedo (Plato), Accessible book, OverDrive, Classic Literature, Fiction, Lending library, Philosophy, ancient, Protected DAISY, Nonfiction, Philosophy, Criticism and interpretation, Immortality., Ancient Philosophy, Soul, History & surveys, Immortality (philosophy)--early works to 1800, Pa4279.p3 p39 1993, 184, Religion, Philosophy of, Philosophy - general & miscellaneous, General & miscellaneous religious philosophy, Spirituality",5.82 x 0.39 x 8.27 inches,http://books.google.com/books/content?id=WwleAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0065,Einstein: His Life and Universe,Walter Isaacson,2007,Biography & Autobiography,Non-Fiction,6,78,19_Mar_24,4.63 out of 5 stars,58 ratings,$0.99 ,en,704,,"physics, relativity, scientific advancement, quantum mechanics, Friends and associates, Unified field theories, Physicists, Biography, Relativity (Physics), Large type books, nyt:paperback-nonfiction=2008-06-08, New York Times bestseller, Biographie, Einstein, albert, 1879-1955, Physicists, biography, Champ unitaire, ThÃƒÂ©ories du, Biographies, Amis et relations, Physiciens, RelativitÃƒÂ© (Physique), ThÃƒÂ©ories du champ unitaire, Biography & autobiography: science, technology & engineering, History of science, Relativity physics, Friendship, VÃƒÂ¤nner och kollegor, Fysiker, Biografi, Relativitetsteorin, FÃƒÂ­sicos, TeorÃƒÂ­as del campo unificado, Amigos y compaÃƒÂ±eros, Relatividad (FÃƒÂ­sica), BiografÃƒÂ­a, Germany, biography, Scientists, biography",6.42 x 2.33 x 6.39 inches,http://books.google.com/books/content?id=x7vaDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0066,A lodge in the wilderness,John Buchan,1906,,,6,6,25_Oct_24,4.72 out of 5 stars,5 ratings,Price not available,eng,436,,,5.50 x 1.54 x 7.30 inches,http://books.google.com/books/content?id=op0lAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A2-B4-0067,When the Sleeper Awakes,H. G. Wells,1899,Science Fiction,Fiction,6,2,22_Jan_25,3.83 out of 5 stars,2 ratings,$7.99 ,en,553,,"Fiction, Twenty-first century, Technological innovations, Time travel, Science fiction, Literature, Classic Literature, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Fiction, science fiction, general, Dystopias, English literature, Twenty-second century",5.72 x 1.88 x 6.40 inches,
A2-B4-0068,Le Barbier de Séville,Pierre Augustin Caron de Beaumarchais,1776,Drama,Fiction,4,2,12_Dec_24,4.53 out of 5 stars,1 rating,$15.99 ,fr,194,,"Literary Criticism, Nonfiction, French drama, Continental european fiction (fictional works by one author), Continental european drama (dramatic works by one author), Manuel, Beaumarchais, pierre augustin caron de, 1732-1799",5.23 x 0.90 x 9.01 inches,http://books.google.com/books/content?id=acsDAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0069,Emily of New Moon,Lucy Maud Montgomery,1923,Novels,Children,7,10,27_Mar_24,4.58 out of 5 stars,7 ratings,$2.99 ,en,310,979-6-250-9233-6,"Juvenile fiction, Child authors, Orphans, Fiction, Protected DAISY, Accessible book, Children's fiction, Starr, emily byrd (fictitious character), fiction, Canada, fiction, Orphans, fiction",6 x 0.75 x 9 inches,http://books.google.com/books/content?id=PBR0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A2-B4-0070,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,Fantasy,Fiction,8,12,18_Jul_24,4.25 out of 5 stars,8 ratings,$0.99 ,en,620,,"Time travel, Fiction, Arthurian romances, Kings and rulers, Adaptations, Knights and knighthood, Americans, Britons, American fiction (fictional works by one author), Fiction, fantasy, historical, Great britain, fiction, Arthur, king, fiction, Camelot (legendary place), fiction, England, fiction, Fiction, humorous, Fiction, satire, Middle Ages, Medievalism, Middle Ages in literature, History, Juvenile fiction, Large type books, Travel, King Arthur, Connecticut Yankee in King Arthur's court (Twain, Mark), Life on the Mississippi (Twain, Mark), Mysterious stranger and other stories (Twain, Mark), Children's fiction, Knights and knighthood, fiction, Literature and fiction, historical fiction, Literature and fiction, fantasy, Fiction, fantasy, general, History and criticism, Arthurian romances, adaptations, Criticism and interpretation, Fiction, action & adventure, Fantasy fiction, Satire, Knights and knighthood -- Fiction, Arthurian romances -- Adaptations, Time travel -- Fiction, Americans -- Great Britain -- Fiction, Kings and rulers -- Fiction, Britons -- Fiction, Twain, mark, 1835-1910, Dictionaries, English language, German, Moyen Ãƒâ€šge, Romans, nouvelles, Voyages dans le temps",6.68 x 2.10 x 8.36 inches,
